CPU: Intel Core/i7, speed 2393.98 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 90000
samples  %        linenr info                 app name                 symbol name
3876496  77.4428  util-cpu.c:190              suricata                 UtilCpuGetTicks
378915    7.5698  detect.c:1237               suricata                 SigMatchSignatures
144521    2.8872  util-mpm-ac.c:1307          suricata                 SCACSearch
78725     1.5727  util-profiling.c:994        suricata                 SCProfileRuleStart
56779     1.1343  (no location information)   libc-2.21.so             /lib/x86_64-linux-gnu/libc-2.21.so
48516     0.9692  pcre_exec.c:516             libpcre.so.3.13.1        match
41501     0.8291  util-profiling-keywords.c:222 suricata                 SCProfilingKeywordUpdateCounter
40902     0.8171  (no location information)   kallsyms                 irq_entries_start
28938     0.5781  util-profiling-rules.c:547  suricata                 SCProfilingRuleUpdateCounter
15021     0.3001  detect-engine-event.c:122   suricata                 DetectEngineEventMatch
14505     0.2898  tm-threads.c:127            suricata                 TmThreadsSlotVarRun
14044     0.2806  detect-engine-siggroup.c:1090 suricata                 SigGroupHeadCopySigs.part.5
9084      0.1815  (no location information)   libpthread-2.21.so       pthread_mutex_lock
8873      0.1773  (no location information)   libpthread-2.21.so       pthread_mutex_unlock
7986      0.1595  (no location information)   libjansson.so.4.7.0      /usr/lib/x86_64-linux-gnu/libjansson.so.4.7.0
5062      0.1011  output-packet.c:87          suricata                 OutputPacketLog
4991      0.0997  (no location information)   libpthread-2.21.so       pthread_mutex_trylock
4433      0.0886  detect-engine-mpm.c:1953    suricata                 PatternMatchPrepareGroup
4420      0.0883  stream-tcp.c:5031           suricata                 StreamTcp
3962      0.0792  util-profiling.c:878        suricata                 SCProfilingUpdatePacketTmmRecords
3873      0.0774  (no location information)   kallsyms                 virtnet_receive
3602      0.0720  detect.c:880                suricata                 DetectMpmPrefilter
3560      0.0711  detect-engine-mpm.c:735     suricata                 PacketPatternCleanup
3557      0.0711  (no location information)   kallsyms                 tpacket_rcv
3527      0.0705  util-spm-bm.c:306           suricata                 BoyerMoore
3262      0.0652  (no location information)   kallsyms                 __netif_receive_skb_core
3037      0.0607  util-mpm-ac.c:286           suricata                 SCACAddPattern
3030      0.0605  util-profiling.c:741        suricata                 SCProfilingUpdatePacketDetectRecord
2958      0.0591  util-mpm-ac.c:1036          suricata                 SCACPreparePatterns
2908      0.0581  (no location information)   kallsyms                 memcpy
2618      0.0523  util-mpm-ac.c:826           suricata                 SCACCreateDeltaTable
2562      0.0512  flow-manager.c:370          suricata                 FlowTimeoutHash.constprop.4
2514      0.0502  util-mpm-ac.c:769           suricata                 SCACCreateFailureTable
2298      0.0459  detect.c:836                suricata                 QuickSortSigIntId
2278      0.0455  stream-tcp.c:4460           suricata                 StreamTcpPacket
2119      0.0423  util-profiling.c:846        suricata                 SCProfilingUpdatePacketTmmRecord
2087      0.0417  detect.c:3642               suricata                 BuildDestinationAddressHeads
2069      0.0413  detect-engine-iponly.c:974  suricata                 IPOnlyMatchPacket
2066      0.0413  detect-engine-proto.c:168   suricata                 DetectProtoContainsProto
2013      0.0402  (no location information)   kallsyms                 virtqueue_get_buf
1963      0.0392  (no location information)   kallsyms                 kmem_cache_alloc
1936      0.0387  detect-engine-port.c:869    suricata                 DetectPortLookupGroup
1870      0.0374  tmqh-packetpool.c:174       suricata                 PacketPoolWaitForN
1788      0.0357  (no location information)   kallsyms                 __radix_tree_lookup
1733      0.0346  (no location information)   kallsyms                 net_rx_action
1718      0.0343  (no location information)   kallsyms                 _raw_spin_lock
1696      0.0339  counters.c:139              suricata                 StatsAddUI64
1670      0.0334  detect-csum.c:237           suricata                 DetectIPV4CsumMatch
1656      0.0331  tm-threads.c:395            suricata                 TmThreadsSlotVar
1605      0.0321  packet-queue.c:170          suricata                 PacketDequeue
1583      0.0316  detect-parse.c:423          suricata                 SigMatchListSMBelongsTo
1564      0.0312  (no location information)   [vdso] (tgid:775 range:0x7fff1e31d000-0x7fff1e31efff) [vdso] (tgid:775 range:0x7fff1e31d000-0x7fff1e31efff)
1563      0.0312  (no location information)   kallsyms                 __pv_queued_spin_unlock
1559      0.0311  flow-hash.c:650             suricata                 FlowGetFlowFromHash
1538      0.0307  util-profiling.c:763        suricata                 SCProfilingUpdatePacketDetectRecords
1479      0.0295  detect-engine-iponly.c:374  suricata                 IPOnlyCIDRItemInsert
1455      0.0291  util-profiling.c:897        suricata                 SCProfilingAddPacket
1455      0.0291  tmqh-packetpool.c:445       suricata                 TmqhOutputPacketpool
1427      0.0285  (no location information)   kallsyms                 __do_softirq
1386      0.0277  output-json.c:334           suricata                 OutputJSONMemBufferCallback
1370      0.0274  detect-engine-mpm.c:2903    suricata                 DetectSetFastPatternAndItsId
1328      0.0265  (no location information)   kallsyms                 native_write_msr_safe
1323      0.0264  output-file.c:88            suricata                 OutputFileLog
1319      0.0264  detect-flowbits.c:154       suricata                 DetectFlowbitMatch
1285      0.0257  detect.c:1962               suricata                 Detect
1259      0.0252  (no location information)   kallsyms                 pvclock_clocksource_read
1257      0.0251  (no location information)   kallsyms                 page_to_skb
1212      0.0242  (no location information)   kallsyms                 __build_skb
1170      0.0234  (no location information)   kallsyms                 common_interrupt
1162      0.0232  (no location information)   kallsyms                 eth_type_trans
1112      0.0222  (no location information)   kallsyms                 add_interrupt_randomness
1107      0.0221  (no location information)   kallsyms                 kmem_cache_free
1104      0.0221  detect-engine-siggroup.c:1726 suricata                 SigGroupHeadBuildNonMpmArray
1081      0.0216  util-profiling.c:821        suricata                 SCProfilingUpdatePacketAppRecords
1073      0.0214  (no location information)   kallsyms                 __raw_callee_save___pv_queued_spin_unlock
1016      0.0203  detect-engine-content-inspection.c:108 suricata                 DetectEngineContentInspection
1005      0.0201  (no location information)   kallsyms                 rcu_irq_enter
1005      0.0201  detect-csum.c:423           suricata                 DetectTCPV6CsumMatch
985       0.0197  (no location information)   kallsyms                 handle_edge_irq
